,Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
0,4271,Aceh,1593648000000,86,0,31,0,3,0,52,3.48837,36.04651,4271,7982
1,4201,Aceh,1593734400000,87,1,31,0,3,0,53,3.44828,35.63218,4201,8087
2,4236,Aceh,1593820800000,87,0,31,0,3,0,53,3.44828,35.63218,4236,8122
3,4271,Aceh,1593907200000,87,0,31,0,3,0,53,3.44828,35.63218,4271,8157
4,4306,Aceh,1593993600000,87,0,40,9,3,0,44,3.44828,45.97701,4306,8192
5,4341,Aceh,1594080000000,88,1,42,2,3,0,43,3.40909,47.72727,4341,8262
6,4376,Aceh,1594166400000,89,1,51,9,3,0,35,3.37079,57.30337,4376,8297
7,4411,Aceh,1594252800000,90,1,54,3,3,0,33,3.33333,60.00000,4411,8332
8,4446,Aceh,1594339200000,90,0,59,5,3,0,28,3.33333,65.55556,4446,8367
9,4481,Aceh,1594425600000,99,9,63,4,3,0,33,3.03030,63.63636,4481,8402
10,4516,Aceh,1594512000000,106,7,63,0,4,1,39,3.77358,59.43396,4516,8437
11,4551,Aceh,1594598400000,106,0,63,0,4,0,39,3.77358,59.43396,4551,8581
12,4586,Aceh,1594684800000,110,4,64,1,5,1,41,4.54545,58.18182,4586,8616
13,4621,Aceh,1594771200000,137,27,64,0,7,2,66,5.10949,46.71533,4621,8651
14,4656,Aceh,1594857600000,140,3,65,1,8,1,67,5.71429,46.42857,4656,8686
15,4691,Aceh,1594944000000,145,5,65,0,8,0,72,5.51724,44.82759,4691,8721
16,4901,Aceh,1595030400000,145,0,65,0,8,0,72,5.517241379310345,44.827586206896555,4901,8826
17,4936,Aceh,1595116800000,148,3,65,0,9,1,74,6.081081081081082,43.91891891891892,4936,8861
18,4971,Aceh,1595203200000,148,0,65,0,9,0,74,6.081081081081082,43.91891891891892,4971,8896
19,5006,Aceh,1595289600000,149,1,70,5,9,0,70,6.0402684563758395,46.97986577181208,5006,8931
20,5041,Aceh,1595376000000,151,2,75,5,9,0,67,5.960264900662252,49.668874172185426,5041,8966
21,5076,Aceh,1595462400000,158,7,77,2,10,1,71,6.329113924050633,48.734177215189874,5076,9001
22,5111,Aceh,1595548800000,162,4,89,12,10,0,63,6.172839506172839,54.93827160493827,5111,9036
23,5146,Aceh,1595635200000,168,6,91,2,10,0,67,5.952380952380952,54.166666666666664,5146,9071
24,5181,Aceh,1595808000000,168,0,91,0,10,0,67,5.952380952380952,54.166666666666664,5181,9106
25,5216,Aceh,1595894400000,168,0,91,0,10,0,67,5.952380952380952,54.166666666666664,5216,9141
26,5251,Aceh,1596067200000,312,144,91,0,12,2,209,3.8461538461538463,29.166666666666668,5251,9176
27,5286,Aceh,1596153600000,415,103,91,0,12,0,312,2.891566265060241,21.927710843373493,5286,9211
