,Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
0,4289,Sumatera Selatan,1593648000000,2120,42,1085,43,101,8,934,4.76415,51.17925,4289,8000
1,4219,Sumatera Selatan,1593734400000,2156,36,1109,24,104,3,943,4.82375,51.43785,4219,8105
2,4254,Sumatera Selatan,1593820800000,2205,49,1120,11,104,0,981,4.71655,50.79365,4254,8140
3,4289,Sumatera Selatan,1593907200000,2255,50,1160,40,105,1,990,4.65632,51.44124,4289,8175
4,4324,Sumatera Selatan,1593993600000,2326,71,1182,22,106,1,1038,4.55718,50.81685,4324,8210
5,4359,Sumatera Selatan,1594080000000,2356,30,1210,28,112,6,1034,4.75382,51.35823,4359,8280
6,4394,Sumatera Selatan,1594166400000,2419,63,1220,10,113,1,1086,4.67135,50.43406,4394,8315
7,4429,Sumatera Selatan,1594252800000,2475,56,1224,4,114,1,1137,4.60606,49.45455,4429,8350
8,4464,Sumatera Selatan,1594339200000,2568,93,1239,15,119,5,1210,4.63396,48.24766,4464,8385
9,4499,Sumatera Selatan,1594425600000,2604,36,1243,4,121,2,1240,4.64670,47.73425,4499,8420
10,4534,Sumatera Selatan,1594512000000,2653,49,1277,34,124,3,1252,4.67395,48.13419,4534,8455
11,4569,Sumatera Selatan,1594598400000,2703,50,1307,30,125,1,1271,4.62449,48.35368,4569,8599
12,4604,Sumatera Selatan,1594684800000,2754,51,1326,19,129,4,1299,4.68410,48.14815,4604,8634
13,4639,Sumatera Selatan,1594771200000,2784,30,1340,14,133,4,1311,4.77730,48.13218,4639,8669
14,4674,Sumatera Selatan,1594857600000,2832,48,1361,21,133,0,1338,4.69633,48.05791,4674,8704
15,4709,Sumatera Selatan,1594944000000,2899,67,1387,26,136,3,1376,4.69127,47.84408,4709,8739
16,4919,Sumatera Selatan,1595030400000,2966,67,1391,4,138,2,1437,4.652730950775455,46.8981793661497,4919,8844
17,4954,Sumatera Selatan,1595116800000,3054,88,1409,18,140,2,1505,4.5841519318926,46.136214800261946,4954,8879
18,4989,Sumatera Selatan,1595203200000,3054,0,1409,0,140,0,1505,4.5841519318926,46.136214800261946,4989,8914
19,5024,Sumatera Selatan,1595289600000,3112,58,1419,10,142,2,1551,4.5629820051413885,45.59768637532134,5024,8949
20,5059,Sumatera Selatan,1595376000000,3149,37,1472,53,144,2,1533,4.572880279453795,46.74499841219435,5059,8984
21,5094,Sumatera Selatan,1595462400000,3165,16,1526,54,144,0,1495,4.549763033175355,48.21484992101106,5094,9019
22,5129,Sumatera Selatan,1595548800000,3211,46,1581,55,149,5,1481,4.640298972282778,49.236997819993775,5129,9054
23,5164,Sumatera Selatan,1595635200000,3228,17,1610,29,149,0,1469,4.615861214374226,49.87608426270136,5164,9089
24,5199,Sumatera Selatan,1595808000000,3251,23,1644,34,153,4,1454,4.706244232543833,50.56905567517687,5199,9124
25,5234,Sumatera Selatan,1595894400000,3275,24,1680,36,154,1,1441,4.702290076335878,51.29770992366412,5234,9159
26,5269,Sumatera Selatan,1596067200000,3387,112,1757,77,162,8,1468,4.782993799822853,51.874815470918215,5269,9194
27,5304,Sumatera Selatan,1596153600000,3417,30,1794,37,162,0,1461,4.741000877963126,52.50219490781387,5304,9229
28,5304,Sumatera Selatan,1596326400000,3444,27,1857,63,163,1,1424,4.732868757259001,53.9198606271777,5304,9264
