,Object_ID,Provinsi,Tanggal,Kasus_Terkonfirmasi_Akumulatif,Penambahan_Harian_Kasus_Terkonf,Kasus_Sembuh_Akumulatif,Penambahan_Harian_Kasus_Sembuh,Kasus_Meninggal_Akumulatif,Penambahan_Harian_Kasus_Meningg,Kasus_Aktif_Akumulatif,CFR_Harian,RI_Harian,FID,ObjectId
0,4292,Sumatera Utara,1593648000000,1690,89,425,7,99,2,1166,5.85799,25.14793,4292,8003
1,4222,Sumatera Utara,1593734400000,1723,33,438,13,100,1,1185,5.80383,25.42078,4222,8108
2,4257,Sumatera Utara,1593820800000,1767,44,459,21,103,3,1205,5.82909,25.97623,4257,8143
3,4292,Sumatera Utara,1593907200000,1778,11,478,19,103,0,1197,5.79303,26.88414,4292,8178
4,4327,Sumatera Utara,1593993600000,1798,20,485,7,107,4,1206,5.95106,26.97442,4327,8213
5,4362,Sumatera Utara,1594080000000,1821,23,494,9,108,1,1219,5.93081,27.12795,4362,8283
6,4397,Sumatera Utara,1594166400000,1977,156,504,10,109,1,1364,5.51340,25.49317,4397,8318
7,4432,Sumatera Utara,1594252800000,2085,108,515,11,114,5,1456,5.46763,24.70024,4432,8353
8,4467,Sumatera Utara,1594339200000,2197,112,527,12,115,1,1555,5.23441,23.98726,4467,8388
9,4502,Sumatera Utara,1594425600000,2284,87,543,16,119,4,1622,5.21016,23.77408,4502,8423
10,4537,Sumatera Utara,1594512000000,2323,39,565,22,123,4,1635,5.29488,24.32200,4537,8458
11,4572,Sumatera Utara,1594598400000,2367,44,578,13,125,2,1664,5.28095,24.41910,4572,8602
12,4607,Sumatera Utara,1594684800000,2497,130,598,20,130,5,1769,5.20625,23.94874,4607,8637
13,4642,Sumatera Utara,1594771200000,2596,99,606,8,130,0,1860,5.00770,23.34361,4642,8672
14,4677,Sumatera Utara,1594857600000,2693,97,635,29,135,5,1923,5.01300,23.57965,4677,8707
15,4712,Sumatera Utara,1594944000000,2776,83,656,21,142,7,1978,5.11527,23.63112,4712,8742
16,4922,Sumatera Utara,1595030400000,2923,147,695,39,145,3,2083,4.960656859391037,23.776941498460484,4922,8847
17,4957,Sumatera Utara,1595116800000,2952,29,769,74,149,4,2034,5.047425474254743,26.050135501355015,4957,8882
18,4992,Sumatera Utara,1595203200000,2952,0,769,0,149,0,2034,5.047425474254743,26.050135501355015,4992,8917
19,5027,Sumatera Utara,1595289600000,2994,42,799,30,153,4,2042,5.110220440881764,26.68670674682699,5027,8952
20,5062,Sumatera Utara,1595376000000,3163,169,825,26,160,7,2178,5.058488776478027,26.08283275371483,5062,8987
21,5097,Sumatera Utara,1595462400000,3263,100,846,21,169,9,2248,5.179282868525896,25.927060986821942,5097,9022
22,5132,Sumatera Utara,1595548800000,3320,57,879,33,172,3,2269,5.1807228915662655,26.47590361445783,5132,9057
23,5167,Sumatera Utara,1595635200000,3371,51,903,24,175,3,2293,5.191337881934144,26.787303470780184,5167,9092
24,5202,Sumatera Utara,1595808000000,3390,19,918,15,179,4,2293,5.28023598820059,27.079646017699115,5202,9127
25,5237,Sumatera Utara,1595894400000,3438,48,931,13,181,2,2326,5.264688772542176,27.07969749854567,5237,9162
26,5272,Sumatera Utara,1596067200000,3827,389,1247,316,188,7,2392,4.9124640710739484,32.58426966292135,5272,9197
27,5307,Sumatera Utara,1596153600000,3931,104,1353,106,194,6,2384,4.93513100992114,34.418722971254134,5307,9232
28,5307,Sumatera Utara,1596326400000,4136,205,1614,261,201,7,2321,4.859767891682785,39.02321083172147,5307,9267
