,FID,kecamatan,kabupaten,provinsi,lat,lon,kategori
0,3236,SAMUDERA,ACEH UTARA,ACEH,5.122299561,97.22678803,low
1,3237,SEUNUDDON,ACEH UTARA,ACEH,5.195586403,97.42538088,low
2,3238,GUNUNG MERIAH,ACEH SINGKIL,ACEH,2.3837621,97.96209307,low
3,3239,BLANG PIDIE,ACEH BARAT DAYA,ACEH,3.831100027,96.97984837,low
4,3240,TRIENGGADENG,PIDIE JAYA,ACEH,5.21935316,96.17169581,low
5,3257,SILIH NARA,ACEH TENGAH,ACEH,4.626625852,96.72627824,low
6,3258,SEUNAGAN,NAGAN RAYA,ACEH,4.229000459,96.30211456,low
7,3315,BAKONGAN,ACEH SELATAN,ACEH,2.958058079,97.46050242,low
8,3316,DARUL AMAN,ACEH TIMUR,ACEH,4.971797121,97.70170593,low
9,3317,NURUSSALAM,ACEH TIMUR,ACEH,4.974659283,97.65944815,low
10,3318,RANTAU SELAMAT,ACEH TIMUR,ACEH,4.615660486,97.83304025,low
11,3319,MEUREUBO,ACEH BARAT,ACEH,4.1655963,96.21149219,low
12,3320,PANTON REU,ACEH BARAT,ACEH,4.437966407,96.20356841,low
13,3321,SUKAMAKMUR,ACEH BESAR,ACEH,5.428902011,95.36566796,low
14,3322,MUARA BATU,ACEH UTARA,ACEH,5.241355027,96.94492463,low
15,3323,KOTA BAHARU,ACEH SINGKIL,ACEH,2.459529795,97.85339013,low
16,3324,JEUNIEB,BIREUEN,ACEH,5.074754023,96.47976685,low
17,3325,PEULIMBANG,BIREUEN,ACEH,5.044092121,96.50586198,low
18,3326,SUSOH,ACEH BARAT DAYA,ACEH,3.727471877,96.81808086,low
19,3327,TEUNOM,ACEH JAYA,ACEH,4.492336769,95.85599264,low
20,3328,JAYA,ACEH JAYA,ACEH,5.145762769,95.46693509,low
21,3329,DARUL HIKMAH,ACEH JAYA,ACEH,4.91327744,95.62966896,low
22,3330,KOTA KUALASINPANG,ACEH TAMIANG,ACEH,4.285110908,98.06162342,low
23,3331,BUKIT,BENER MERIAH,ACEH,4.716635136,96.87301942,low
24,3532,TIMANG GAJAH,BENER MERIAH,ACEH,4.791289241,96.78314073,low
25,3556,MEURAH MULIA,ACEH UTARA,ACEH,5.057731188,97.20250297,low
26,3571,KUTE PANANG,ACEH TENGAH,ACEH,4.688272356,96.77484618,low
27,3619,SERUWAY,ACEH TAMIANG,ACEH,4.342183279,98.20931469,low
28,3631,SYIAH KUALA,KOTA BANDA ACEH,ACEH,5.583553103,95.35071076,low
29,3641,MANYAK PAYED,ACEH TAMIANG,ACEH,4.431318275,98.02639165,low
30,3683,MUTIARA,PIDIE,ACEH,5.287180263,95.97413488,low
31,3692,DARUSSALAM,ACEH BESAR,ACEH,5.595138347,95.42050134,low
32,3696,PEGASING,ACEH TENGAH,ACEH,4.492777051,96.72925831,low
33,3698,KUALA,NAGAN RAYA,ACEH,4.096412686,96.29782724,low
34,3711,SIMPANG TIGA,PIDIE,ACEH,5.342143902,95.9921672,low
35,3716,KOTA JUANG,BIREUEN,ACEH,5.197071256,96.71469199,low
36,3720,TANAH LUAS,ACEH UTARA,ACEH,4.966984204,97.13720708,low
37,3733,RANTAU PEUREULAK,ACEH TIMUR,ACEH,4.767707192,97.71431544,low
38,3739,BANDAR,BENER MERIAH,ACEH,4.711684987,96.94671742,low
39,3741,BIREM BAYEUN,ACEH TIMUR,ACEH,4.477707501,97.85775142,low
40,3751,MUARA SATU,KOTA LHOKSEUMAWE,ACEH,5.201913985,97.07211753,low
41,3789,TADU RAYA,NAGAN RAYA,ACEH,4.069616106,96.39255711,low
42,3802,PEUSANGAN SELATAN,BIREUEN,ACEH,5.0624464,96.76416353,low
43,3824,KRUENG BARONA JAYA,ACEH BESAR,ACEH,5.548791177,95.36391686,low
44,3834,LHOKSUKON,ACEH UTARA,ACEH,5.030100174,97.35917378,low
45,3841,INGIN JAYA,ACEH BESAR,ACEH,5.509331731,95.37046443,low
46,3847,SIMPANG KANAN,ACEH SINGKIL,ACEH,2.429192616,98.03640809,low
47,3850,SULTAN DAULAT,KOTA SUBULUSSALAM,ACEH,2.8288516,97.93378964,low
48,3853,SAMADUA,ACEH SELATAN,ACEH,3.346928789,97.1931535,low
49,3858,LANGSA TIMUR,KOTA LANGSA,ACEH,4.464919692,98.02207225,low
50,3898,KARANG BARU,ACEH TAMIANG,ACEH,4.343198628,98.04212974,low
51,3974,PEUSANGAN,BIREUEN,ACEH,5.200320305,96.76906943,low
