,FID,kecamatan,kabupaten,provinsi,lat,lon,kategori
0,86,KEPULAUAN SERIBU SELATAN.,KEPULAUAN SERIBU,DKI JAKARTA,-5.901435642,106.6214411,high
1,93,SAWAH BESAR,JAKARTA PUSAT,DKI JAKARTA,-6.153836075,106.8332349,high
2,97,MENTENG,JAKARTA PUSAT,DKI JAKARTA,-6.19578292,106.8351718,high
3,147,CEMPAKA PUTIH,JAKARTA PUSAT,DKI JAKARTA,-6.180883479,106.8680462,high
4,151,JAGAKARSA,JAKARTA SELATAN,DKI JAKARTA,-6.33516234,106.8201832,high
5,152,SENEN,JAKARTA PUSAT,DKI JAKARTA,-6.184268482,106.8458614,high
6,163,GAMBIR,JAKARTA PUSAT,DKI JAKARTA,-6.171464391,106.8180802,high
7,164,TAMAN SARI,JAKARTA BARAT,DKI JAKARTA,-6.148284168,106.8182623,high
8,167,CILANDAK,JAKARTA SELATAN,DKI JAKARTA,-6.292744061,106.7932989,high
9,168,KEBAYORAN BARU,JAKARTA SELATAN,DKI JAKARTA,-6.244751059,106.801412,high
10,169,KELAPA GADING,JAKARTA UTARA,DKI JAKARTA,-6.160768491,106.9035302,high
11,170,PESANGGRAHAN,JAKARTA SELATAN,DKI JAKARTA,-6.250359144,106.7586582,high
12,184,PULOGADUNG,JAKARTA TIMUR,DKI JAKARTA,-6.193299394,106.8889122,high
13,185,TANAH ABANG,JAKARTA PUSAT,DKI JAKARTA,-6.205510514,106.8092941,high
14,196,KEMAYORAN,JAKARTA PUSAT,DKI JAKARTA,-6.162821902,106.8558984,high
15,198,TEBET,JAKARTA SELATAN,DKI JAKARTA,-6.228812329,106.8507114,high
16,205,MATRAMAN,JAKARTA TIMUR,DKI JAKARTA,-6.203772147,106.8645226,high
17,208,KEMBANGAN,JAKARTA BARAT,DKI JAKARTA,-6.198356869,106.7418089,high
18,214,KEBAYORAN LAMA,JAKARTA SELATAN,DKI JAKARTA,-6.249150907,106.7799437,high
19,217,DUREN SAWIT,JAKARTA TIMUR,DKI JAKARTA,-6.232483721,106.9204199,high
20,224,SETIABUDI,JAKARTA SELATAN,DKI JAKARTA,-6.219591395,106.8298767,high
21,227,JOHAR BARU,JAKARTA PUSAT,DKI JAKARTA,-6.182123785,106.8545403,high
22,228,GROGOL PETAMBURAN,JAKARTA BARAT,DKI JAKARTA,-6.163435659,106.7864384,high
23,229,PADEMANGAN,JAKARTA UTARA,DKI JAKARTA,-6.129512151,106.8373335,high
24,234,MAKASAR,JAKARTA TIMUR,DKI JAKARTA,-6.266462918,106.8910489,high
25,242,KEBON JERUK,JAKARTA BARAT,DKI JAKARTA,-6.188963193,106.7690259,high
26,243,PAL MERAH,JAKARTA BARAT,DKI JAKARTA,-6.19174473,106.7955528,high
27,256,JATINEGARA,JAKARTA TIMUR,DKI JAKARTA,-6.227654964,106.8774319,high
28,259,PASAR MINGGU,JAKARTA SELATAN,DKI JAKARTA,-6.290661893,106.8293094,high
29,262,KOJA,JAKARTA UTARA,DKI JAKARTA,-6.121113369,106.9048773,high
30,268,PASAR REBO,JAKARTA TIMUR,DKI JAKARTA,-6.326492408,106.8531618,high
31,271,CIPAYUNG,JAKARTA TIMUR,DKI JAKARTA,-6.325264801,106.9034632,high
32,289,KRAMATJATI,JAKARTA TIMUR,DKI JAKARTA,-6.276215694,106.8654648,high
33,310,CAKUNG,JAKARTA TIMUR,DKI JAKARTA,-6.188736158,106.9403416,high
34,311,PENJARINGAN,JAKARTA UTARA,DKI JAKARTA,-6.118099504,106.7664839,high
35,322,PANCORAN,JAKARTA SELATAN,DKI JAKARTA,-6.255353771,106.8436104,high
36,325,CILINCING,JAKARTA UTARA,DKI JAKARTA,-6.126716251,106.9440534,high
37,349,CIRACAS,JAKARTA TIMUR,DKI JAKARTA,-6.333966073,106.8783812,high
38,403,MAMPANG PRAPATAN,JAKARTA SELATAN,DKI JAKARTA,-6.25226841,106.8209534,high
39,459,TANJUNG PRIOK,JAKARTA UTARA,DKI JAKARTA,-6.132077326,106.8749002,high
40,1954,TAMBORA,JAKARTA BARAT,DKI JAKARTA,-6.147388454,106.8033735,medium
41,1965,KALIDERES,JAKARTA BARAT,DKI JAKARTA,-6.13453625,106.7042666,medium
42,1967,CENGKARENG,JAKARTA BARAT,DKI JAKARTA,-6.152220493,106.7365367,medium
43,4290,KEPULAUAN SERIBU UTARA,KEPULAUAN SERIBU,DKI JAKARTA,-5.572274277,106.5526186,low
