,FID,kecamatan,kabupaten,provinsi,lat,lon,kategori
0,1051,KEJAKSAN,KOTA CIREBON,JAWA BARAT,-6.704345663,108.5561264,medium
1,1061,BUNGURSARI,PURWAKARTA,JAWA BARAT,-6.456110217,107.4769384,medium
2,1066,MANDIRANCAN,KUNINGAN,JAWA BARAT,-6.844953282,108.4545708,medium
3,1073,PANGKALAN,KARAWANG,JAWA BARAT,-6.463376321,107.2280828,medium
4,1075,PASAWAHAN,KUNINGAN,JAWA BARAT,-6.824986168,108.4270284,medium
5,1091,WARUDOYONG,KOTA SUKABUMI,JAWA BARAT,-6.930732646,106.9131183,medium
6,1094,SOREANG,BANDUNG,JAWA BARAT,-7.040885147,107.5188411,medium
7,1104,JALAKSANA,KUNINGAN,JAWA BARAT,-6.915807777,108.4588959,medium
8,1105,PARUNGKUDA,SUKABUMI,JAWA BARAT,-6.840515101,106.7512782,medium
9,1110,TAMBELANG,BEKASI,JAWA BARAT,-6.16785122,107.1273715,medium
10,1120,PARONGPONG,BANDUNG BARAT,JAWA BARAT,-6.799508191,107.5835483,medium
11,1124,CICANTAYAN,SUKABUMI,JAWA BARAT,-6.921518358,106.8299732,medium
12,1141,SUKADANA,CIAMIS,JAWA BARAT,-7.272762325,108.4518005,medium
13,1149,HANTARA,KUNINGAN,JAWA BARAT,-7.064352444,108.4537899,medium
14,1150,PARAKANSALAK,SUKABUMI,JAWA BARAT,-6.791203506,106.7051116,medium
15,1153,BANDUNG KIDUL,KOTA BANDUNG,JAWA BARAT,-6.957652868,107.6312237,medium
16,1166,GANEAS,SUMEDANG,JAWA BARAT,-6.870392124,107.9679302,medium
17,1171,SUMEDANG SELATAN,SUMEDANG,JAWA BARAT,-6.901822456,107.9214381,medium
18,1172,BANTARGADUNG,SUKABUMI,JAWA BARAT,-6.97154696,106.6638763,medium
19,1184,CANGKUANG,BANDUNG,JAWA BARAT,-7.057533161,107.5419248,medium
20,1194,JAPARA,KUNINGAN,JAWA BARAT,-6.911631207,108.5436788,medium
21,1199,LEBAKWANGI,KUNINGAN,JAWA BARAT,-7.010066023,108.5855988,medium
22,1200,CILEBAK,KUNINGAN,JAWA BARAT,-7.139780381,108.5776203,medium
23,1215,TENGAH TANI,CIREBON,JAWA BARAT,-6.699930165,108.5237693,medium
24,1216,PANGURAGAN,CIREBON,JAWA BARAT,-6.617146236,108.4615028,medium
25,1218,CISITU,SUMEDANG,JAWA BARAT,-6.876253196,108.0399468,medium
26,1219,NAGRAK,SUKABUMI,JAWA BARAT,-6.843285162,106.8384763,medium
27,1220,KALAPANUNGGAL,SUKABUMI,JAWA BARAT,-6.814249512,106.6666077,medium
28,1222,CIBATU,PURWAKARTA,JAWA BARAT,-6.532284866,107.5368535,medium
29,1230,KLAPANUNGGAL,BOGOR,JAWA BARAT,-6.483158824,106.955215,medium
30,1231,KRAMATMULYA,KUNINGAN,JAWA BARAT,-6.941372598,108.4933337,medium
31,1232,TENJOLAYA,BOGOR,JAWA BARAT,-6.654015474,106.7079486,medium
32,1236,KEDAWUNG,CIREBON,JAWA BARAT,-6.716433373,108.5333022,medium
33,1239,TALUN,CIREBON,JAWA BARAT,-6.768418047,108.5093016,medium
34,1243,GREGED,CIREBON,JAWA BARAT,-6.815762992,108.5615315,medium
35,1245,HARJAMUKTI,KOTA CIREBON,JAWA BARAT,-6.761432176,108.5482559,medium
36,1249,SINDANGWANGI,MAJALENGKA,JAWA BARAT,-6.80303446,108.3847442,medium
37,1253,BANYUSARI,KARAWANG,JAWA BARAT,-6.302627338,107.539919,medium
38,1255,CISARUA,SUMEDANG,JAWA BARAT,-6.831796751,107.9695702,medium
39,1273,DARMARAJA,SUMEDANG,JAWA BARAT,-6.912037406,108.0618645,medium
40,1278,CIJEUNGJING,CIAMIS,JAWA BARAT,-7.332153169,108.4193383,medium
41,1280,GUNUNG TANJUNG,TASIKMALAYA,JAWA BARAT,-7.427103434,108.3028045,medium
42,1281,CISAGA,CIAMIS,JAWA BARAT,-7.316261158,108.5092072,medium
43,1284,PALASAH,MAJALENGKA,JAWA BARAT,-6.738967546,108.2995983,medium
44,1285,DARMA,KUNINGAN,JAWA BARAT,-7.009662393,108.4032464,medium
45,1298,CIGUGUR,KUNINGAN,JAWA BARAT,-6.954287994,108.4406479,medium
46,1305,TEMPURAN,KARAWANG,JAWA BARAT,-6.196427851,107.4437179,medium
47,1311,PAMULIHAN,GARUT,JAWA BARAT,-7.363302775,107.6820042,medium
48,1313,INDIHIANG,KOTA TASIKMALAYA,JAWA BARAT,-7.290795882,108.1981919,medium
49,1320,SITURAJA,SUMEDANG,JAWA BARAT,-6.864414362,108.0065061,medium
50,1330,CIWIDEY,BANDUNG,JAWA BARAT,-7.089407848,107.4383836,medium
51,1331,KALIMANGGIS,KUNINGAN,JAWA BARAT,-6.952758803,108.6267223,medium
52,1334,KLANGENAN,CIREBON,JAWA BARAT,-6.667798528,108.4516114,medium
53,1341,PATARUMAN,KOTA BANJAR,JAWA BARAT,-7.391127706,108.5644162,medium
54,1343,AGRABINTA,CIANJUR,JAWA BARAT,-7.393880676,106.8961264,medium
55,1361,JATINAGARA,CIAMIS,JAWA BARAT,-7.182359979,108.405195,medium
56,1374,KERTAJATI,MAJALENGKA,JAWA BARAT,-6.642727792,108.1311398,medium
57,1380,TALAGA,MAJALENGKA,JAWA BARAT,-6.988694371,108.3183416,medium
58,1390,TEGALWARU,PURWAKARTA,JAWA BARAT,-6.627803871,107.3344179,medium
59,1393,SUSUKAN LEBAK,CIREBON,JAWA BARAT,-6.862800958,108.6178429,medium
60,1405,NUSAHERANG,KUNINGAN,JAWA BARAT,-7.015018481,108.4320322,medium
61,1406,CIMALAKA,SUMEDANG,JAWA BARAT,-6.793243739,107.943546,medium
62,1412,CANTIGI,INDRAMAYU,JAWA BARAT,-6.298060695,108.2387776,medium
63,1414,CIHIDEUNG,KOTA TASIKMALAYA,JAWA BARAT,-7.335890478,108.2129025,medium
64,1435,CIPATUJAH,TASIKMALAYA,JAWA BARAT,-7.702406318,108.0266451,medium
65,1442,JAMPANG TENGAH,SUKABUMI,JAWA BARAT,-7.068108942,106.790436,medium
66,1447,DARANGDAN,PURWAKARTA,JAWA BARAT,-6.687183705,107.4443826,medium
67,1450,HAURGEULIS,INDRAMAYU,JAWA BARAT,-6.446405204,107.9374704,medium
68,1487,KARANG KANCANA,KUNINGAN,JAWA BARAT,-7.102016489,108.6726278,medium
69,1509,MUARAGEMBONG,BEKASI,JAWA BARAT,-5.996071382,107.0499777,medium
70,1512,WALURAN,SUKABUMI,JAWA BARAT,-7.209098984,106.5999117,medium
71,1533,CARINGIN,SUKABUMI,JAWA BARAT,-6.850318319,106.8818199,medium
72,1545,JATISARI,KARAWANG,JAWA BARAT,-6.355807281,107.522137,medium
73,1570,CIKIDANG,SUKABUMI,JAWA BARAT,-6.890732753,106.6366707,medium
74,1573,KALIBUNDER,SUKABUMI,JAWA BARAT,-7.260367601,106.7174831,medium
75,1580,SUMEDANG UTARA,SUMEDANG,JAWA BARAT,-6.835981774,107.908162,medium
76,1581,BOJONG,PURWAKARTA,JAWA BARAT,-6.703674302,107.5179044,medium
77,1594,BEBER,CIREBON,JAWA BARAT,-6.825018186,108.5242795,medium
78,1611,CIKONENG,CIAMIS,JAWA BARAT,-7.280302507,108.27436,medium
79,1619,CITAMIANG,KOTA SUKABUMI,JAWA BARAT,-6.937251213,106.9309594,medium
80,1620,BABAKAN MADANG,BOGOR,JAWA BARAT,-6.59158129,106.9015992,medium
81,1625,SUMBER,CIREBON,JAWA BARAT,-6.761931708,108.479059,medium
82,1628,CIBEUREUM,KOTA SUKABUMI,JAWA BARAT,-6.941388462,106.9481166,medium
83,1633,PURWAKARTA,PURWAKARTA,JAWA BARAT,-6.540097924,107.4548248,medium
84,1640,CIREUNGHAS,SUKABUMI,JAWA BARAT,-6.93683387,107.024121,medium
85,1648,BOJONGMANGU,BEKASI,JAWA BARAT,-6.43824581,107.1792166,medium
86,1656,GUNUNG JATI,CIREBON,JAWA BARAT,-6.665599995,108.5356348,medium
87,1666,BANJAR,KOTA BANJAR,JAWA BARAT,-7.37418243,108.5037243,medium
88,1667,PURWASARI,KARAWANG,JAWA BARAT,-6.369515747,107.4095184,medium
89,1669,CIKALONGWETAN,BANDUNG BARAT,JAWA BARAT,-6.742831198,107.4459004,medium
90,1673,CIJERUK,BOGOR,JAWA BARAT,-6.685778732,106.7836872,medium
91,1681,SINDANGKERTA,BANDUNG BARAT,JAWA BARAT,-7.040242068,107.4010221,medium
92,1682,SUKALARANG,SUKABUMI,JAWA BARAT,-6.883807973,107.0126659,medium
93,1689,LEMBANG,BANDUNG BARAT,JAWA BARAT,-6.809335335,107.6479414,medium
94,1691,ARJAWINANGUN,CIREBON,JAWA BARAT,-6.641584564,108.4083528,medium
95,1694,PASIRWANGI,GARUT,JAWA BARAT,-7.211583555,107.7642334,medium
96,1698,NYALINDUNG,SUKABUMI,JAWA BARAT,-7.014088617,106.924149,medium
97,1699,GEGESIK,CIREBON,JAWA BARAT,-6.574306334,108.4296919,medium
98,1712,WANARAJA,GARUT,JAWA BARAT,-7.188690156,108.0083612,medium
99,1714,LEUWIMUNDING,MAJALENGKA,JAWA BARAT,-6.744309728,108.340953,medium
100,1722,ARJASARI,BANDUNG,JAWA BARAT,-7.067244101,107.6411292,medium
