,FID,kecamatan,kabupaten,provinsi,lat,lon,kategori
0,3362,GUNUNGTULEH,PASAMAN BARAT,SUMATERA BARAT,0.317410703,99.75243967,low
1,3363,RANAH BATAHAN,PASAMAN BARAT,SUMATERA BARAT,0.433962226,99.46035497,low
2,3522,PANGKALAN KOTO BARU,LIMA PULUH KOTA,SUMATERA BARAT,0.100960865,100.6953489,low
3,3567,DANAU KEMBAR,SOLOK,SUMATERA BARAT,-1.054642961,100.6954549,low
4,3589,DUO KOTO,PASAMAN,SUMATERA BARAT,0.374132956,99.90255862,low
5,3646,BASO,AGAM,SUMATERA BARAT,-0.271314713,100.4887755,low
6,3648,LINTAU BUO UTARA,TANAH DATAR,SUMATERA BARAT,-0.395148873,100.7375922,low
7,3674,IV KOTO AUR MALINTANG,PADANG PARIAMAN,SUMATERA BARAT,-0.369439917,100.0796434,low
8,3675,PULAU PUNJUNG,DHARMASRAYA,SUMATERA BARAT,-1.019668268,101.4952664,low
9,3745,KUBUNG,SOLOK,SUMATERA BARAT,-0.819052411,100.6064387,low
10,3753,PADANG GELUGUR,PASAMAN,SUMATERA BARAT,0.428098688,100.0512016,low
11,3805,SILAUT,PESISIR SELATAN,SUMATERA BARAT,-2.350611064,101.0533196,low
12,3837,SIJUNJUNG,SIJUNJUNG,SUMATERA BARAT,-0.614705853,101.0609386,low
13,3865,SANGIR,SOLOK SELATAN,SUMATERA BARAT,-1.594474471,101.2764015,low
14,3930,PANTI,PASAMAN,SUMATERA BARAT,0.352738884,100.0934911,low
15,3979,VII KOTO SUNGAI SARIK,PADANG PARIAMAN,SUMATERA BARAT,-0.585613509,100.197658,low
16,3980,LUBUAK TAROK,SIJUNJUNG,SUMATERA BARAT,-0.793736037,100.9979501,low
17,3981,GUGUAK,LIMA PULUH KOTA,SUMATERA BARAT,-0.140885923,100.5267392,low
18,4016,PAUH DUO,SOLOK SELATAN,SUMATERA BARAT,-1.564008853,101.1099927,low
19,4058,RAO,PASAMAN,SUMATERA BARAT,0.557794327,99.9785634,low
20,4076,TANJUNG MUTIARA,AGAM,SUMATERA BARAT,-0.290587589,99.87985566,low
21,4179,BATANG KAPAS,PESISIR SELATAN,SUMATERA BARAT,-1.391562663,100.6664245,low
22,4184,RAMBATAN,TANAH DATAR,SUMATERA BARAT,-0.523760833,100.5730172,low
23,4195,JUNJUNG SIRIH,SOLOK,SUMATERA BARAT,-0.679939528,100.4936154,low
24,4254,AMPEK ANGKEK,AGAM,SUMATERA BARAT,-0.289558043,100.4252021,low
25,4265,LENGAYANG,PESISIR SELATAN,SUMATERA BARAT,-1.574354321,100.8303478,low
26,4276,PAYAKUMBUH UTARA,KOTA PAYAKUMBUH,SUMATERA BARAT,-0.205195536,100.6407122,low
27,4285,SUNGAI PAGU,SOLOK SELATAN,SUMATERA BARAT,-1.470352886,101.0807978,low
28,4326,TALAWI,KOTA SAWAHLUNTO,SUMATERA BARAT,-0.602652974,100.7678409,low
29,4338,BAYANG,PESISIR SELATAN,SUMATERA BARAT,-1.25799568,100.532867,low
30,4360,LINGGO SARI BAGANTI,PESISIR SELATAN,SUMATERA BARAT,-1.821067377,100.9866386,low
31,4378,SUTERA,PESISIR SELATAN,SUMATERA BARAT,-1.45515942,100.7524416,low
32,4429,BUKIT SUNDI,SOLOK,SUMATERA BARAT,-0.882603367,100.723493,low
33,4439,HARAU,LIMA PULUH KOTA,SUMATERA BARAT,-0.117652965,100.6945229,low
34,4455,MUNGKA,LIMA PULUH KOTA,SUMATERA BARAT,-0.057615201,100.5813348,low
35,4517,TIGO NAGARI,PASAMAN,SUMATERA BARAT,0.00652949,100.0696938,low
36,4521,RANAH AMPEK HULU TAPAN,PESISIR SELATAN,SUMATERA BARAT,-2.144645043,101.1141665,low
37,4527,LUBUK BASUNG,AGAM,SUMATERA BARAT,-0.292755029,100.0092389,low
38,4562,TILATANG KAMANG,AGAM,SUMATERA BARAT,-0.251110462,100.3793076,low
39,4563,LAREH SAGO HALABAN,LIMA PULUH KOTA,SUMATERA BARAT,-0.294297348,100.7615783,low
40,4588,BUKIK BARISAN,LIMA PULUH KOTA,SUMATERA BARAT,0.029218572,100.4566616,low
41,4662,SALIMPAUANG,TANAH DATAR,SUMATERA BARAT,-0.343706501,100.5562022,low
42,4668,CANDUNG,AGAM,SUMATERA BARAT,-0.336960498,100.4529988,low
43,4719,PAYAKUMBUH SELATAN,KOTA PAYAKUMBUH,SUMATERA BARAT,-0.260778395,100.6259042,low
44,4817,KAMANG MAGEK,AGAM,SUMATERA BARAT,-0.196326437,100.410491,low
45,4879,KINALI,PASAMAN BARAT,SUMATERA BARAT,-0.066978741,99.89177631,low
46,4932,PELEMBAYAN,AGAM,SUMATERA BARAT,-0.15905816,100.1670757,low
