,FID,kecamatan,kabupaten,provinsi,lat,lon,kategori
0,2285,BINJAI BARAT,KOTA BINJAI,SUMATERA UTARA,3.618319417,98.46868554,medium
1,2299,PANCUR BATU,DELI SERDANG,SUMATERA UTARA,3.455543349,98.59469892,medium
2,2310,MEDAN KOTA,KOTA MEDAN,SUMATERA UTARA,3.569224217,98.69516345,medium
3,2312,SIANTAR MARIHAT,KOTA PEMATANGSIANTAR,SUMATERA UTARA,2.944135285,99.08451941,medium
4,2339,MEDAN AREA,KOTA MEDAN,SUMATERA UTARA,3.579321439,98.70036473,medium
5,2374,MEDAN MAIMUN,KOTA MEDAN,SUMATERA UTARA,3.567923771,98.68341603,medium
6,2376,PADANG HULU,KOTA TEBING TINGGI,SUMATERA UTARA,3.303058763,99.13842851,medium
7,2467,MEDAN LABUHAN,KOTA MEDAN,SUMATERA UTARA,3.719005181,98.69494735,medium
8,2487,SILIMAKUTA,SIMALUNGUN,SUMATERA UTARA,2.954745382,98.63142475,medium
9,2488,PADANG HILIR,KOTA TEBING TINGGI,SUMATERA UTARA,3.327170751,99.17791544,medium
10,2494,MEDAN PETISAH,KOTA MEDAN,SUMATERA UTARA,3.592370968,98.6597998,medium
11,2511,BAJENIS,KOTA TEBING TINGGI,SUMATERA UTARA,3.332819755,99.13728761,medium
12,2528,LUBUK PAKAM,DELI SERDANG,SUMATERA UTARA,3.56984914,98.88500211,medium
13,2534,MEDAN TEMBUNG,KOTA MEDAN,SUMATERA UTARA,3.605463982,98.71134499,medium
14,2539,MEDAN BARAT,KOTA MEDAN,SUMATERA UTARA,3.60835053,98.66846704,medium
15,2561,PANGURURAN,SAMOSIR,SUMATERA UTARA,2.628945729,98.71981365,medium
16,2569,RAYA,SIMALUNGUN,SUMATERA UTARA,2.97817444,98.85785425,medium
17,2574,MEDAN TIMUR,KOTA MEDAN,SUMATERA UTARA,3.619210336,98.68178107,medium
18,2609,SIPAHUTAR,TAPANULI UTARA,SUMATERA UTARA,2.127685239,99.12349914,medium
19,2619,SIMANINDO,SAMOSIR,SUMATERA UTARA,2.666393084,98.80594966,medium
20,2626,TANJUNG MORAWA,DELI SERDANG,SUMATERA UTARA,3.531881487,98.80648169,medium
21,2641,RAMBUTAN,KOTA TEBING TINGGI,SUMATERA UTARA,3.352931243,99.16546624,medium
22,2642,BERASTAGI,KARO,SUMATERA UTARA,3.189803716,98.51685172,medium
23,2668,PANGARIBUAN,TAPANULI UTARA,SUMATERA UTARA,1.959130917,99.18378884,medium
24,2677,SIBORONG-BORONG,TAPANULI UTARA,SUMATERA UTARA,2.205860369,99.01972537,medium
25,2682,BERINGIN,DELI SERDANG,SUMATERA UTARA,3.623309987,98.87762553,medium
26,2685,DATUK BANDAR,KOTA TANJUNG BALAI,SUMATERA UTARA,2.946862871,99.77848738,medium
27,2703,PURBA TUA,TAPANULI UTARA,SUMATERA UTARA,1.720028682,99.05882022,low
28,2727,LAE PARIRA,DAIRI,SUMATERA UTARA,2.787390357,98.18212898,low
29,2747,TANJUNG BALAI SELATAN,KOTA TANJUNG BALAI,SUMATERA UTARA,2.96267089,99.80220279,low
30,2781,SIDAMANIK,SIMALUNGUN,SUMATERA UTARA,2.842473114,98.94255404,low
31,2804,BOSAR MALIGAS,SIMALUNGUN,SUMATERA UTARA,3.049390252,99.37298704,low
32,2813,AIR JOMAN,ASAHAN,SUMATERA UTARA,3.012231734,99.71566066,low
33,2817,KUALUH SELATAN,LABUHANBATU UTARA,SUMATERA UTARA,2.474530705,99.65367154,low
34,2818,TANJUNG PURA,LANGKAT,SUMATERA UTARA,3.961538949,98.4760039,low
35,2838,PULAU-PULAU BATU,NIAS SELATAN,SUMATERA UTARA,-0.053030391,98.342598,low
36,2854,RAWANG PANCA ARGA,ASAHAN,SUMATERA UTARA,3.060046472,99.66131497,low
37,2860,GUNUNG SITEMBER,DAIRI,SUMATERA UTARA,2.946816356,98.1466607,low
38,2879,PAYUNG,KARO,SUMATERA UTARA,3.117598475,98.36682268,low
39,2895,SITINJO,DAIRI,SUMATERA UTARA,2.704977973,98.36206235,low
40,2905,AEK NABARA BARUMUN,PADANG LAWAS,SUMATERA UTARA,1.266305093,99.76277425,low
41,2917,SIATAS BARITA,TAPANULI UTARA,SUMATERA UTARA,2.003341295,99.02735079,low
42,2926,TIGANDERKET,KARO,SUMATERA UTARA,3.186997375,98.34864082,low
43,2931,MERDEKA,KARO,SUMATERA UTARA,3.207692838,98.48723078,low
44,2944,TANO TOMBANGAN ANGKOLA,TAPANULI SELATAN,SUMATERA UTARA,1.051943935,99.38605317,low
45,2949,ANGKOLA SELATAN,TAPANULI SELATAN,SUMATERA UTARA,1.319074352,99.16197761,low
46,2951,SUNGAI KANAN,LABUHANBATU SELATAN,SUMATERA UTARA,1.734467403,99.87590935,low
47,2976,SEI DADAP,ASAHAN,SUMATERA UTARA,2.941373493,99.64633785,low
48,3001,MARDINGDING,KARO,SUMATERA UTARA,3.234165746,98.02832645,low
